summary,abstract
"it is well-known that in fluid dynamics an alternative to customary direct
solution methods (based on the discretization of the fluid fields) is provided
by so-called \emph{particle simulation methods}. particle simulation methods
rely typically on appropriate \emph{kinetic models} for the fluid equations
which permit the evaluation of the fluid fields in terms of suitable
expectation values (or \emph{momenta}) of the kinetic distribution function
$f(\mathbf{r,v},t),$ being respectively $\mathbf{r}$ and\textbf{\}$\mathbf{v}$
the position an velocity of a test particle with probability density
$f(\mathbf{r,v},t)$. these kinetic models can be continuous or discrete in
phase space, yielding respectively \emph{continuous} or \emph{discrete kinetic
models} for the fluids. however, also particle simulation methods may be biased
by an undesirable computational complexity. in particular, a fundamental issue
is to estimate the algorithmic complexity of numerical simulations based on
traditional lbm's (lattice-boltzmann methods; for review see succi, 2001
\cite{succi}). these methods, based on a discrete kinetic approach, represent
currently an interesting alternative to direct solution methods. here we intend
to prove that for incompressible fluids fluids lbm's may present a high
complexity. the goal of the investigation is to present a detailed account of
the origin of the various complexity sources appearing in customary lbm's. the
result is relevant to establish possible strategies for improving the numerical
efficiency of existing numerical methods.
","the computational complexity of traditional lattice-boltzmann methods
  for incompressible fluids"
"the old suggestive observation that black holes often resemble lumps of fluid
has recently been taken beyond the level of an analogy to a precise duality. we
investigate aspects of this duality, and in particular clarify the relation
between area minimization of the fluid vs. area maximization of the black hole
horizon, and the connection between surface tension and curvature of the fluid,
and surface gravity of the black hole. we also argue that the rayleigh-plateau
instability in a fluid tube is the holographic dual of the gregory-laflamme
instability of a black string. associated with this fluid instability there is
a rich variety of phases of fluid solutions that we study in detail, including
in particular the effects of rotation. we compare them against the known
results for asymptotically flat black holes finding remarkable agreement.
furthermore, we use our fluid results to discuss the unknown features of the
gravitational system. finally, we make some observations that suggest that
asymptotically flat black holes may admit a fluid description in the limit of
large number of dimensions.
",black holes as lumps of fluid
"gravity-driven convection of fluid at parameters near its thermodynamic
critical point inside a porous layer heated from below (rayleigh-darcy
convection) is studied. the fluid having the temperature slightly above the
critical one is one-component. the hydrodynamic model describing a high
compressible fluid phase at variable physical properties inside a solid matrix
at a uniform porosity is analyzed. a near-critical fluid is assumed to be the
van der waals gas. in the limit of small variations in the density and
thermodynamic coefficients where the oberbeck-boussinesq approximation is
applicable, the correlation relations for the key criteria of similarity under
the stratification effect are obtained. these relations connect the model
parameters (the rayleigh-darcy and prandtl numbers appearing in the
dimensionless governing equations) with the criteria of similarity (the real
rayleigh-darcy and prandtl numbers characterizing convection actually).
steady-state rayleigh-darcy convection near the stability threshold in
conditions of the oberbeck-boussinesq approximation to be valid is simulated
numerically. a set of solutions is analyzed with the use of the correlation
relations resulting in a universal dependency of the corrected nusselt number
on the real rayleigh-darcy number described by a single curve. convection of
near-critical fluid is compared with that of normal fluid. the temperature
difference at boundaries corresponding to the convection onset and depending on
the schwarzschild and rayleigh criteria is analyzed analytically. as obtained,
near the critical point, the threshold temperature difference at boundaries
becomes independent of solid matrix and is determined solely by the critical
adiabatic temperature gradient of fluid phase.
","rayleigh-darcy convection in a porous layer: a comparison of
  near-critical and normal fluid phases"
"numerical analyses of transient electro-osmosis of a typical non-newtonian
liquid induced by dc and ac electric fields in a rectangular microchannel are
conducted in the framework of continuum fluid mechanics. the famous power-law
constitutive model is used to express the fluid dynamic viscosity in terms of
the velocity gradient. transient start-up characteristics of electro-osmotic
power-law liquid flow in rectangular microchannels are simulated by using
finite element method. under a dc electric field, it is found out and the fluid
is more inert to the external electric field and the steady-state velocity
profile becomes more plug-like with decrease of the flow behavior index of the
power-law liquids. the numerical calculations also confirm the validity of the
generalized smoluchowski slip velocity which can serve as the counterpart for
the classic smoluchowski slip velocity when dealing with electrokinetic flow of
non-newtonian power-law fluids. under ac electric fields, the fluid is more
obviously accelerated during oscillations and the amplitude of the oscillating
velocity is closer to the magnitude of the generalized smoluchowski velocity as
the fluid behavior index increases. these dynamic predictions are of practical
significance for the design of microfluidic devices that manipulate
non-newtonian fluids such as biofluids, polymer solutions and colloidal
suspensions.
",electroosmotic mobilities of non-newtonian fluids
"numerical analyses of transient electro-osmosis of a typical non-newtonian
liquid induced by dc and ac electric fields in a rectangular microchannel are
conducted in the framework of continuum fluid mechanics. the famous power-law
constitutive model is used to express the fluid dynamic viscosity in terms of
the velocity gradient. transient start-up characteristics of electro-osmotic
power-law liquid flow in rectangular microchannels are simulated by using
finite element method. under a dc electric field, it is found out and the fluid
is more inert to the external electric field and the steady-state velocity
profile becomes more plug-like with decrease of the flow behavior index of the
power-law liquids. the numerical calculations also confirm the validity of the
generalized smoluchowski slip velocity which can serve as the counterpart for
the classic smoluchowski slip velocity when dealing with electrokinetic flow of
non-newtonian power-law fluids. under ac electric fields, the fluid is more
obviously accelerated during oscillations and the amplitude of the oscillating
velocity is closer to the magnitude of the generalized smoluchowski velocity as
the fluid behavior index increases. these dynamic predictions are of practical
significance for the design of microfluidic devices that manipulate
non-newtonian fluids such as biofluids, polymer solutions and colloidal
suspensions.
","numerical analysis of dynamic electro-osmotic flows of non-newtonian
  fluids in rectangular microchannels"
"complexity of fluid flow in a rough fracture is induced by the complex
configurations of opening areas between the fracture planes. in this study, we
model fluid flow in an evolvable real rock joint structure, which under certain
normal load is sheared. in an experimental study, information regarding about
apertures of the rock joint during consecutive 20 mm displacements and fluid
flow (permeability) in different pressure heads have been recorded by a scanner
laser. our aim in this study is to simulate the fluid flow in the mentioned
complex geometries using the lattice boltzmann method (lbm), while the
characteristics of the aperture field will be compared with the modeled fluid
flow permeability to characterize the aperture, we use a new concept in the
graph theory, namely: complex networks and motif analysis of the corresponding
networks. in this approach, the similar aperture profile along the fluid flow
direction is mapped in to a network space. the modeled permeability using the
lbm shows good correlation with the experimental measured values. furthermore,
the two main characters of the obtained networks, i.e., characteristic length
and number of edges show the same evolutionary trend with the modeled
permeability values. analysis of motifs through the obtained networks showed
the most transient sub-graphs are much more frequent in residual stages. this
coincides with nearly stable fluid flow and high permeability values.
","fluid flow analysis in a rough fracture (type ii) using complex networks
  and lattice boltzmann method"
"we present analysis for the reduction of an inertial description of
fluid-structure interactions subject to thermal fluctuations. we show how the
viscous coupling between the immersed structures and the fluid can be
simplified in the regime where this coupling becomes increasingly strong. many
descriptions in fluid mechanics and in the formulation of computational methods
account for fluid-structure interactions through viscous drag terms to transfer
momentum from the fluid to immersed structures. in the inertial regime, this
coupling often introduces a prohibitively small time-scale into the temporal
dynamics of the fluid-structure system. this is further exacerbated in the
presence of thermal fluctuations. we discuss here a systematic reduction
technique for the full inertial equations to obtain a simplified description
where this coupling term is eliminated. this approach also accounts for the
effective stochastic equations for the fluid-structure dynamics. the analysis
is based on use of the infinitesmal generator of the spdes and a singular
perturbation analysis of the backward kolomogorov pdes. we also discuss the
physical motivations and interpretation of the obtained reduced description of
the fluid-structure system. working paper currently under revision. please
report any comments or issues to tabak.gil@gmail.com.
","systematic stochastic reduction of inertial fluid-structure interactions
  subject to thermal fluctuations"
"we present two numerical schemes for passive tracer particles in the
hydrodynamical moving-mesh code arepo, and compare their performance for
various problems, from simple setups to cosmological simulations. the purpose
of tracer particles is to allow the flow to be followed in a lagrangian way,
tracing the evolution of the fluid with time, and allowing the thermodynamical
history of individual fluid parcels to be recorded. we find that the
commonly-used `velocity field tracers', which are advected using the fluid
velocity field, do not in general follow the mass flow correctly, and explain
why this is the case. this method can result in orders-of-magnitude biases in
simulations of driven turbulence and in cosmological simulations, rendering the
velocity field tracers inappropriate for following these flows. we then discuss
a novel implementation of `monte carlo tracers', which are moved along with
fluid cells, and are exchanged probabilistically between them following the
mass flux. this method reproduces the mass distribution of the fluid correctly.
the main limitation of this approach is that it is more diffusive than the
fluid itself. nonetheless, we show that this novel approach is more reliable
than what has been employed previously and demonstrate that it is appropriate
for following hydrodynamical flows in mesh-based codes. the monte carlo tracers
can also naturally be transferred between fluid cells and other types of
particles, such as stellar particles, so that the mass flow in cosmological
simulations can be followed in its entirety.
",following the flow: tracer particles in astrophysical fluid simulations
"we study a nonlinear, unsteady, moving boundary, fluid-structure (fsi)
problem in which the structure is composed of two layers: a thin layer which is
in contact with the fluid, and a thick layer which sits on top of the thin
structural layer. the fluid flow, which is driven by the time-dependent dynamic
pressure data, is governed by the 2d navier-stokes equations for an
incompressible, viscous fluid, defined on a 2d cylinder. the elastodynamics of
the cylinder wall is governed by the 1d linear wave equation modeling the thin
structural layer, and by the 2d equations of linear elasticity modeling the
thick structural layer. the fluid and the structure, as well as the two
structural layers, are fully coupled via the kinematic and dynamic coupling
conditions describing continuity of velocity and balance of contact forces. the
thin structural layer acts as a fluid-structure interface with mass. the
resulting fsi problem is a nonlinear moving boundary problem of
parabolic-hyperbolic type. this problem is motivated by the flow of blood in
elastic arteries whose walls are composed of several layers, each with
different mechanical characteristics and thickness. we prove existence of a
weak solution to this nonlinear fsi problem as long as the cylinder radius is
greater than zero. the proof is based on a novel semi-discrete, operator
splitting numerical scheme, known as the kinematically coupled scheme. we
effectively prove convergence of that numerical scheme to a solution of the
nonlinear fluid-multi-layered-structure interaction problem. the spaces of weak
solutions presented in this manuscript reveal a striking new feature: the
presence of a thin fluid-structure interface with mass regularizes solutions of
the coupled problem.
","existence of a solution to a fluid-multi-layered-structure interaction
  problem"
"in this work, the local pressure of fluids confined inside nanoslit pores is
predicted within the framework of the density functional theory. the
euler-lagrange equation in the density functional theory of statistical
mechanics is used to obtain the force balance equation which leads to a general
equation to predict the local normal component of the pressure tensor. our
approach yields a general equation for predicting the normal pressure of
confined fluids and it satisfies the exact bulk thermodynamics equation when
the pore width approaches infinity. as two basic examples, we report the
solution of the general equation for hard-sphere (hs) and lennard-jones (lj)
fluids confined between two parallel-structureless hard walls. to do so, we use
the modified fundamental measure theory (mfmt) to obtain the normal pressure
for hard-sphere confined fluid and mfmt incorporated with the rosenfeld
perturbative dft for the lj fluid. effects of different variables including
pore width, bulk density and temperature on the behavior of normal pressure are
studied and reported. our predicted results show that in both hs and lj cases
the confined fluids normal pressure has an oscillatory behavior and the number
of oscillations increases with bulk density and temperature. the oscillations
also become broad and smooth with pore width at a constant temperature and bulk
density. in comparison with the hs confined fluid, the values of normal
pressure for the lj confined fluid as well as its oscillations at all distances
from the walls are less profound.
","local pressure of confined fluids inside nanoslit pores -- a density
  functional theory prediction"
"in a companion paper we have shown how the equations describing gas and dust
as two fluids coupled by a drag term can be reformulated to describe the system
as a single fluid mixture. here we present a numerical implementation of the
one-fluid dusty gas algorithm using smoothed particle hydrodynamics (sph). the
algorithm preserves the conservation properties of the sph formalism. in
particular, the total gas and dust mass, momentum, angular momentum and energy
are all exactly conserved. shock viscosity and conductivity terms are
generalised to handle the two-phase mixture accordingly. the algorithm is
benchmarked against a comprehensive suit of problems: dustybox, dustywave,
dustyshock and dustyoscill, each of them addressing different properties of the
method. we compare the performance of the one-fluid algorithm to the standard
two-fluid approach. the one-fluid algorithm is found to solve both of the
fundamental limitations of the two- fluid algorithm: it is no longer possible
to concentrate dust below the resolution of the gas (they have the same
resolution by definition), and the spatial resolution criterion h < csts,
required in two-fluid codes to avoid over-damping of kinetic energy, is
unnecessary. implicit time stepping is straightforward. as a result, the
algorithm is up to ten billion times more efficient for 3d simulations of small
grains. additional benefits include the use of half as many particles, a single
kernel and fewer sph interpolations. the only limitation is that it does not
capture multi-streaming of dust in the limit of zero coupling, suggesting that
in this case a hybrid approach may be required.
",dusty gas with one fluid in smoothed particle hydrodynamics
"supercritical fluids near the critical point are characterized by liquid-like
densities and gas-like transport properties. these features are purposely
exploited in different contexts ranging from natural products
extraction/fractionation to aerospace propulsion. large part of studies
concerns this last context, focusing on the dynamics of supercritical fluids at
high mach number where compressibility and thermodynamics strictly interact.
despite the widespread use also at low mach number, the turbulent mixing
properties of slightly supercritical fluids have still not investigated in
detail in this regime. this topic is addressed here by dealing with direct
numerical simulations (dns) of a coaxial jet of a slightly supercritical van
der waals fluid. since acoustic effects are irrelevant in the low mach number
conditions found in many industrial applications, the numerical model is based
on a suitable low-mach number expansion of the governing equation. according to
experimental observations, the weakly supercritical regime is characterized by
the formation of finger-like structures-- the so-called ligaments --in the
shear layers separating the two streams. the mechanism of ligament formation at
vanishing mach number is extracted from the simulations and a detailed
statistical characterization is provided. ligaments always form whenever a high
density contrast occurs, independently of real or perfect gas behaviors. the
difference between real and perfect gas conditions is found in the ligament
small-scale structure. more intense density gradients and thinner interfaces
characterize the near critical fluid in comparison with the smoother behavior
of the perfect gas. a phenomenological interpretation is here provided on the
basis of the real gas thermodynamics properties.
","turbulent mixing of a slightly supercritical van der waals fluid at
  low-mach number"
"in our recent work [h. zhang, f.x. trias, a. oliva, d. yang, y. tan, y.
sheng. pibm: particulate immersed boundary method for fluid-particle
interaction problems. powder technology. 272(2015), 1-13.], a particulate
immersed boundary method (pibm) for simulating fluid-particle multiphase flow
was proposed and assessed in both two- and three-dimensional applications. in
this study, the pibm was extended to solve thermal interaction problems between
spherical particles and fluid. the lattice boltzmann method (lbm) was adopted
to solve the fluid flow and temperature fields, the pibm was responsible for
the non-slip velocity and temperature boundary conditions at the particle
surface, and the kinematics and trajectory of the solid particles were
evaluated by the discrete element method (dem). four case studies were
implemented to demonstrate the capability of the current coupling scheme.
firstly, numerical simulation of natural convection in a two-dimensional square
cavity with an isothermal concentric annulus was carried out for verification
purpose. the current results were found to have good agreements with previous
references. then, sedimentation of two- and three-dimensional isothermal
particles in fluid was numerically studied, respectively. the instantaneous
temperature distribution in the cavity was captured. the effect of the thermal
buoyancy on particle behaviors was discussed. at last, sedimentation of
three-dimensional thermosensitive particles in fluid was numerically
investigated. our results revealed that the lbm-pibm-dem is a promising scheme
for the solution of complex fluid-particle interaction problems with heat
transfer.
","particulate immersed boundary method for complex fluid-particle
  interaction problems with heat transfer"
"we use molecular dynamics simulations to study how the nanopore and the fluid
structures affects the dynamic, thermodynamic and structural properties of a
confined anomalous fluid. the fluid is modeled using an effective pair
potential derived from the st4 atomistic model for water. this system exhibits
density, structural and dynamical anomalies and the vapor-liquid and
liquid-liquid critical points similar to the quantities observed in bulk water.
the confinement is modeled both by smooth and structured walls. the
temperatures of extremum density and diffusion for the confined fluid show a
shift to lower values while the pressures move to higher amounts for both
smooth and structured confinement. in the case of smooth walls, the critical
points and the limit between fluid and amorphous phases show a non-monotonic
change in the temperatures and pressures when the the nanopore size is
increase. in the case of structured walls the pressures and temperatures of the
critical points varies monotonicaly with the porous size. our results are
explained on basis of the competition between the different length scales of
the fluid and the wall-fluid interaction.
","effects of nanopore and fluid structure on anomalies and phase
  transitions of confined core-softened fluids"
"the spherical fe3o4 with 300 nm in diameter was synthesized by typical
thermal decomposition of fe (iii) organo-metallic precursor in polyol and
polyacrylic acid. fe-nanorods were prepared by reducing fe (iii) nitrate in
presence of polyol-hydrazine-ctab. morphology and magnetic characterization of
the nanoparticles were performed by esem, xrd and vsm studies. we performed
detailed non-linear magnetorheological properties of three mr fluids (10 vol%)
containing isotropic fe3o4 and anisotropic fe-nanorods under both small and
large amplitude oscillatory flow. the mr samples demonstrated strong
magnetorheological payne effect i.e. rapid stress relaxation under increasing
deformation and uniform magnetic field beyond linear viscoelastic region (lvr),
which has not been studied in-depth in conventional mr fluids. we have also
shown that stress softening was more pronounced for mr fluids with higher
anisotropic contents, in contrast to isotropic mr fluid. the onset strains for
lvr to non-linear region transition for anisotropic fluids were much lower than
that of isotropic spherical nanoparticle-containing fluid. the stronger mr
response for nanorod-containing mr fluids can be explained in terms of enhanced
field-induced structuration.
","magnetorheological payne effect in bidisperse mr fluids containing fe
  nanorods and fe3o4 nanospheres: a dynamic rheological study"
"we explore a fluid description of the inflationary universe. in particular,
we investigate a fluid model in which the equation of state (eos) for a fluid
includes bulk viscosity. we find that the three observables of inflationary
cosmology: the spectral index of the curvature perturbations, the
tensor-to-scalar ratio of the density perturbations, and the running of the
spectral index, can be consistent with the recent planck results. we also
reconstruct the explicit eos for a fluid from the spectral index of the
curvature perturbations compatible with the planck analysis. in the
reconstructed models of a fluid, the tensor-to-scalar ratio of the density
perturbations can satisfy the constraints obtained from the planck satellite.
the running of the spectral index can explain the planck data. in addition, it
is demonstrated that in the reconstructed models of a fluid, the graceful exit
from inflation can be realized. moreover, we show that the singular inflation
can occur in a fluid model. furthermore, we show that a fluid description of
inflation can be equivalent to the description of inflation in terms of scalar
field theories.
",inflation in a viscous fluid model
"in this article we present a numerical method for simulating the
sedimentation of circular particles in two-dimensional channel filled with a
viscoelastic fluid of fene-cr type, which is generalized from a
domain/distributed lagrange multiplier method with a factorization approach for
oldroyd-b fluids developed in [j. non-newtonian fluid mech. 156 (2009) 95].
numerical results suggest that the polymer extension limit l for the fene-cr
fluid has no effect on the final formation of vertical chain for the cases of
two disks and three disks in two-dimensional narrow channel, at least for the
values of l considered in this article; but the intermediate dynamics of
particle interaction before having a vertical chain can be different for the
smaller values of l when increasing the relaxation time. for the cases of six
particles sedimenting in fene-cr type viscoelastic fluid, the formation of
chain of 4 to 6 disks does depend on the polymer extension limit l. for the
smaller values of l, fene-cr type viscoelastic fluid can not bring them
together like the case of these particles settling in a vertical chain
formation in oldroyd-b fluid; but two separated chains of three disks are
formed. similar results for the case of ten disks are also obtained. the
numerical results of several more particle cases suggest that for smaller
values of l, the length of the vertical chain is shorter and the size of
cluster is smaller.
","dynamics of particle sedimentation in viscoelastic fluids: a numerical
  study on particle chain in two-dimensional narrow channel"
"the study of nonmodal amplification of distributed body forces in channel
flows of viscoelastic fluids has provided useful insights into the mechanisms
that may govern the initial stages of transition to elastic turbulence.
however, distributed body forces are not easy to implement in experiments and
so there is a need to examine amplification of localized body forces. in this
work, we use the linearized governing equations to examine such amplification
in poiseuille flow of fene-cr fluids. we first identify the wall-normal
location at which the impulsive excitations experience the largest
amplification and then analyze the kinetic energy of the fluctuations and the
resulting flow structures. for both a newtonian fluid at high reynolds numbers
and a viscoelastic fluid at low reynolds numbers, the largest amplification
occurs for disturbances that are located near the channel wall. our analysis of
the energy evolution shows that a localized body force in the spanwise
direction has the largest impact and that the streamwise velocity component is
most affected. for viscoelastic fluids we observe the development of vortical
structures away from the source of impulsive excitation. this feature is less
prominent in newtonian fluids and it may provide a mechanism for triggering the
initial stages of transition to elastic turbulence.
","amplification of localized body forces in channel flows of viscoelastic
  fluids"
"hydrodynamic instabilities in miscible fluids are ubiquitous, from natural
phenomena up to geological scales, to industrial and technological
applications, where they represent the only way to control and promote mixing
at low reynolds numbers, well below the transition from laminar to turbulent
flow. as for immiscible fluids, the onset of hydrodynamic instabilities in
miscible fluids is directly related to the physics of their interfaces. the
focus of this review is therefore on the general mechanisms driving the growth
of disturbances at the boundary between miscible fluids, under a variety of
forcing conditions. in the absence of a regularizing mechanism, these
disturbances would grow indefinitely. for immiscible fluids, interfacial
tension provides such a regularizing mechanism, because of the energy cost
associated to the creation of new interface by a growing disturbance. for
miscible fluids, however, the very existence of interfacial stresses that mimic
an effective surface tension is debated. other mechanisms, however, may also be
relevant, such as viscous dissipation. we shall review the stabilizing
mechanisms that control the most common hydrodynamic instabilities,
highlighting those cases for which the lack of an effective interfacial tension
poses deep conceptual problems in the mathematical formulation of a linear
stability analysis. finally, we provide a short overview on the ongoing
research on the effective, out of equilibrium interfacial tension between
miscible fluids.
",hydrodynamic instabilities in miscible fluids
"the influence of a fluid-fluid interface on self-phoresis of chemically
active, axially symmetric, spherical colloids is analyzed. distinct from the
studies of self-phoresis for colloids trapped at fluid interfaces or in the
vicinity of hard walls, here we focus on the issue of self-phoresis close to a
fluid-fluid interface. in order to provide physically intuitive results
highlighting the role played by the interface, the analysis is carried out for
the case that the symmetry axis of the colloid is normal to the interface;
moreover, thermal fluctuations are not taken into account. similarly to what
has been observed near hard walls, we find that such colloids can be set into
motion even if their whole surface is homogeneously active. this is due to the
anisotropy along the direction normal to the interface owing to the
partitioning by diffusion, among the coexisting fluid phases, of the product of
the chemical reaction taking place at the colloid surface. different from
results corresponding to hard walls, in the case of a fluid interface the
direction of motion, i.e., towards the interface or away from it, can be
controlled by tuning the physical properties of one of the two fluid phases.
this effect is analyzed qualitatively and quantitatively, both by resorting to
a far-field approximation and via an exact, analytical calculation which
provides the means for a critical assessment of the approximate analysis.
",self-diffusiophoresis induced by fluid interfaces
"in this paper, we develop a novel phase-field model for fluid-structure
interaction (fsi), that is capable to handle very large deformations as well as
topology changes like contact of the solid to the domain boundary. the model is
based on a fully eulerian description of the velocity field in both, the fluid
and the elastic domain. viscous and elastic stresses in the navier-stokes
equations are restricted to the corresponding domains by multiplication with
their characteristic functions. to obtain the elastic stress, an additional
oldroyd-b - like equation is solved. thermodynamically consistent forces are
derived by energy variation. the convergence of the derived equations to the
traditional sharp interface formulation of fluid-structure interaction is shown
by matched asymptotic analysis. the model is evaluated in a challenging
benchmark scenario of an elastic body traversing a fluid channel. a comparison
to reference values from arbitrary lagrangian eulerian (ale) simulations shows
very good agreement. we highlight some distinct advantages of the new model,
like the avoidance of re-triangulations and the stable inclusion of surface
tension. further, we demonstrate how simple it is to include contact dynamics
into the model, by simulating a ball bouncing off a wall. we extend this
scenario to include adhesion of the ball, which to our knowledge, cannot be
simulated with any other fsi model. while we have restricted simulations to
fluid-structure interaction, the model is capable to simulate any combination
of viscous fluids, visco-elastic fluids and elastic solids.
",a phase-field model for fluid-structure-interaction
"recently, many interesting features of the hydrodynamically coupled motions
of the brownian particles in a viscous fluid have been reported which are
impossible for the uncoupled motions of the similar particles. however, it is
expected that those physics in a viscoelastic fluid is much more interesting
due to the presence of the additional frequency dependent elasticity of the
medium. thus, a theory describing the equilibrium dynamics of two
hydrodynamically coupled brownian harmonic oscillators in a viscoelastic
maxwell fluid has been derived which appears with new and impressive aspects.
initially, the response functions have been calculated and then the
fluctuation-dissipation theorem has been used to calculate the correlation
functions between the coloured noises present on the concerned particles placed
in a maxwell fluid due to the thermal motions of the fluid molecules. these
correlation functions appear to be in a linear relationship with the
delta-correlated noises in a viscous fluid. consequently, this reduces the
statistical description of a simple viscoelastic fluid to the statistical
representation for an extended dynamical system subjected to delta-correlated
random forces. thereupon, the auto and cross-correlation functions in the time
domain and frequency domain and the mean-square displacement functions of the
particles have been calculated which are perfectly consistent with their
corresponding established forms in a viscous fluid and emerge with exceptional
characteristics.
","dynamics of hydrodynamically coupled brownian harmonic oscillators in a
  maxwell fluid"
"a vector calculus approach for the determination of advected invariants is
presented for inviscid fluid flow. this approach describes invariants by means
of lie dragging of scalars, vectors, and skew-tensors with respect to the fluid
velocity, which has the physical meaning of characterizing tensorial quantities
that are frozen into the flow. several new main results are obtained. first,
simple algebraic and differential operators that can be applied recursively to
derive a complete set of invariants starting from the basic known local and
nonlocal invariants are constructed. second, these operators are used to derive
infinite hierarchies of local and nonlocal invariants for both adiabatic fluids
and isentropic fluids that are either incompressible, or compressible with
barotropic and non-barotropic equations of state. each hierarchy is complete in
the sense that no further invariants can be generated from the basic local and
nonlocal invariants. all of the resulting new invariants are related to ertel's
invariant, the ertel-rossby invariant, and hollmann's invariant. in particular,
for incompressible fluid flow in which the density is non-constant across
different fluid streamlines, a new variant of ertel's invariant and several new
variants of hollmann's invariant are derived, where the entropy gradient is
replaced by the density gradient. third, the physical meaning of these new
invariants and the resulting conserved integrals are discussed, and their
relationship to conserved helicities and cross-helicities is described.
","hierarchies of new invariants and conserved integrals in inviscid fluid
  flow"
"incorporation of kinetic effects such as landau damping into a fluid
framework was pioneered by hammett and perkins prl 1990, by obtaining closures
of the fluid hierarchy, where the gyrotropic heat flux fluctuations or the
deviation of the 4th-order gyrotropic fluid moment, are expressed through
lower-order fluid moments. to obtain a closure of a fluid model expanded around
a bi-maxwellian distribution function, the usual plasma dispersion function
$z(\zeta)$ that appears in kinetic theory or the associated plasma response
function $r(\zeta)=1 + \zeta z(\zeta)$, have to be approximated with a suitable
pad\'e approximant in such a way, that the closure is valid for all $\zeta$
values. such closures are rare, and the original closures of hammett and
perkins are often employed. here we present a complete mapping of all plausible
landau fluid closures that can be constructed at the level of 4th-order moments
in the gyrotropic limit and we identify the most precise closures. furthermore,
by considering 1d closures at higher-order moments, we show that it is possible
to reproduce linear landau damping in the fluid framework to any desired
precision, thus showing convergence of the fluid and collisionless kinetic
descriptions.
","new closures for more precise modeling of landau damping in the fluid
  framework"
"fluid deformable surfaces are ubiquitous in cell and tissue biology,
including lipid bilayers, the actomyosin cortex, or epithelial cell sheets.
these interfaces exhibit a complex interplay between elasticity, low reynolds
number interfacial hydrodynamics, chemistry, and geometry, and govern important
biological processes such as cellular traffic, division, migration, or tissue
morphogenesis. to address the modelling challenges posed by this class of
problems, in which interfacial phenomena tightly interact with the shape and
dynamics of the surface, we develop a general continuum mechanics and
computational framework for fluid deformable surfaces. the dual solid-fluid
nature of fluid deformable surfaces challenges classical lagrangian or eulerian
descriptions of deforming bodies. here, we extend the notion of arbitrarily
lagrangian-eulerian (ale) formulations, well-established for bulk media, to
deforming surfaces. to systematically develop models for fluid deformable
surfaces, which consistently treat all couplings between fields and geometry,
we follow a nonlinear onsager formalism according to which the dynamics
minimize a rayleighian functional where dissipation, power input and energy
release rate compete. finally, we propose new computational methods, which
build on onsager's formalism and our ale formulation, to deal with the
resulting stiff system of higher-order of partial differential equations. we
apply our theoretical and computational methodology to classical models for
lipid bilayers and the cell cortex. the methods developed here allow us to
formulate/simulate these models for the first time in their full
three-dimensional generality, accounting for finite curvatures and finite shape
changes.
","modelling fluid deformable surfaces with an emphasis on biological
  interfaces"
"we describe the dynamics of two-dimensional relativistic and carrollian
fluids. these are mapped holographically to three-dimensional locally anti-de
sitter and locally minkowski spacetimes, respectively. to this end, we use
eddington-finkelstein coordinates, and grant general curved two-dimensional
geometries as hosts for hydrodynamics. this requires to handle the conformal
anomaly, and the expressions obtained for the reconstructed bulk metrics
incorporate non-conformal-fluid data. we also analyze the freedom of choosing
arbitrarily the hydrodynamic frame for the description of relativistic fluids,
and propose an invariant entropy current compatible with classical and extended
irreversible thermodynamics. this local freedom breaks down in the dual
gravitational picture, and fluid/gravity correspondence turns out to be
sensitive to dissipation processes: the fluid heat current is a necessary
ingredient for reconstructing all banados asymptotically anti-de sitter
solutions. the same feature emerges for carrollian fluids, which enjoy a
residual frame invariance, and their barnich-troessaert locally minkowski
duals. these statements are proven by computing the algebra of surface
conserved charges in the fluid-reconstructed bulk three-dimensional spacetimes.
",two-dimensional fluids and their holographic duals
"direct numerical simulations of two superposed fluids in a channel with a
textured surface on the lower wall have been carried out. a parametric study
varying the viscosity ratio between the two fluids has been performed to mimic
both {\bf idealised} super hydrophobic and liquid infused surfaces and assess
its effect on the frictional, form and total drag for three different textured
geometries: longitudinal square bars, transversal square bars and staggered
cubes. the interface between the two fluids is assumed to be slippery in the
streamwise and spanwise directions and not deformable in the vertical
direction, corresponding to the ideal case of infinite surface tension. to
identify the role of the fluid-fluid interface, an extra set of simulations
with a single fluid has been carried out and compared to the results obtained
with two fluids of same viscosity separated by the interface. the drag and the
maximum wall-normal velocity fluctuations were found to be highly correlated
for all the surface configurations, whether they reduce or increase the drag.
this implies that the structure of the near-wall turbulence is dominated by the
total shear and not by the local boundary condition of super-hydrophobic,
liquid--infused or rough surfaces.
","comparison between super-hydrophobic, liquid infused and rough surfaces:
  a dns study"
